,adult,budget,genres,id,imdb_id,original_language,popularity,production_companies,release_date,revenue,runtime,status,title,vote_average,vote_count
27,FALSE,32000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",59,tt0399146,en,11.119707,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'DC Comics', 'id': 429}, {'name': 'BenderSpink', 'id': 6363}]",9/23/2005,60740827.0,96.0,Released,A History of Violence,6.9,850.0
28,FALSE,10500000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",62,tt0062622,en,22.494622,"[{'name': 'Stanley Kubrick Productions', 'id': 385}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",4/10/1968,68700000.0,149.0,Released,2001: A Space Odyssey,7.9,3075.0
29,FALSE,29500000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",63,tt0114746,en,12.297305,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Classico', 'id': 17031}]",12/29/1995,168840000.0,129.0,Released,Twelve Monkeys,7.4,2470.0
30,FALSE,9285469,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",64,tt0287467,es,6.648278,"[{'name': 'Vía Digital', 'id': 357}, {'name': 'Good Machine', 'id': 10565}, {'name': 'El Deseo S.A.', 'id': 11736}, {'name': 'Antena 3 Televisión', 'id': 11737}]",3/14/2002,51001550.0,112.0,Released,Talk to Her,7.5,273.0
31,FALSE,41000000,"[{'id': 18, 'name': 'Drama'}]",65,tt0298203,en,8.374355,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Mikona Productions GmbH & Co. KG', 'id': 24}]",11/8/2002,215000000.0,110.0,Released,8 Mile,6.8,1676.0
32,FALSE,50000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",66,tt0118548,en,7.66124,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Malpaso Productions', 'id': 171}]",2/14/1997,50068310.0,121.0,Released,Absolute Power,6.4,226.0
34,FALSE,15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",68,tt0088846,en,9.837287,"[{'name': 'Embassy International Pictures', 'id': 10214}]",2/20/1985,0.0,132.0,Released,Brazil,7.6,877.0
35,FALSE,28000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",69,tt0358273,en,11.476443,"[{'name': 'Tree Line Films', 'id': 84}, {'name': 'Konrad Pictures', 'id': 85}, {'name': 'Catfish Productions', 'id': 86}, {'name': 'Fox 2000 Pictures', 'id': 711}, {'name': 'Mars Media Beteiligungs', 'id': 6402}]",9/13/2005,186438883.0,136.0,Released,Walk the Line,7.3,732.0
36,FALSE,30000000,"[{'id': 18, 'name': 'Drama'}]",70,tt0405159,en,14.471373,"[{'name': 'Lakeshore Entertainment', 'id': 126}, {'name': 'Malpaso Productions', 'id': 171}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Albert S. Ruddy Productions', 'id': 16311}]",12/15/2004,216763646.0,132.0,Released,Million Dollar Baby,7.7,2519.0
37,FALSE,5000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",71,tt0249462,en,12.158424,"[{'name': 'BBC Films', 'id': 288}, {'name': 'Tiger Aspect Productions', 'id': 686}, {'name': 'StudioCanal', 'id': 694}, {'name': 'Arts Council of England', 'id': 718}, {'name': 'Working Title Films', 'id': 10163}, {'name': 'WT2 Productions', 'id': 10462}]",5/18/2000,110000000.0,110.0,Released,Billy Elliot,7.4,774.0
38,FALSE,20000000,"[{'id': 18, 'name': 'Drama'}]",73,tt0120586,en,18.157166,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'The Turman-Morrissey Company', 'id': 924}, {'name': 'Savoy Pictures', 'id': 11308}]",10/30/1998,23875127.0,119.0,Released,American History X,8.2,3120.0
39,FALSE,132000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",74,tt0407304,en,19.929377,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Cruise/Wagner Productions', 'id': 44}, {'name': 'Amblin Entertainment', 'id': 56}]",6/28/2005,591739379.0,116.0,Released,War of the Worlds,6.2,2397.0
40,FALSE,70000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",75,tt0116996,en,15.63424,"[{'name': 'Tim Burton Productions', 'id': 8601}]",12/12/1996,101371017.0,106.0,Released,Mars Attacks!,6.1,1544.0
41,FALSE,2500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",76,tt0112471,en,11.304979,"[{'name': 'Detour Film Production', 'id': 98}, {'name': 'Warner Bros.', 'id': 6194}]",1/27/1995,5535405.0,105.0,Released,Before Sunrise,7.7,984.0
42,FALSE,9000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",77,tt0209144,en,15.450789,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Newmarket Capital Group', 'id': 506}, {'name': 'Team Todd', 'id': 598}, {'name': 'I Remember Productions', 'id': 34446}]",10/11/2000,39723096.0,113.0,Released,Memento,8.1,4168.0
43,FALSE,28000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",78,tt0083658,en,96.272374,"[{'name': 'Shaw Brothers', 'id': 5798}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'The Ladd Company', 'id': 7965}]",6/25/1982,33139618.0,117.0,Released,Blade Runner,7.9,3833.0
44,FALSE,31000000,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}]",79,tt0299977,zh,9.861765,"[{'name': 'Beijing New Picture Film Co. Ltd.', 'id': 724}, {'name': 'China Film Co-Production Corporation', 'id': 2269}]",12/19/2002,177394432.0,99.0,Released,Hero,7.3,647.0
45,FALSE,2700000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",80,tt0381681,en,7.048957,"[{'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Detour Film Production', 'id': 98}, {'name': 'Warner Independent Pictures (WIP)', 'id': 11509}]",2/10/2004,15992615.0,80.0,Released,Before Sunset,7.6,734.0
46,FALSE,1000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",81,tt0087544,ja,11.267366,"[{'name': 'Topcraft', 'id': 29}]",3/11/1984,3301446.0,117.0,Released,Nausicaä of the Valley of the Wind,7.7,808.0
47,FALSE,135000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",82,tt0430357,en,11.72545,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Forward Pass', 'id': 675}, {'name': 'Motion Picture ETA Produktionsgesellschaft', 'id': 52844}, {'name': 'Foqus Arte Digital', 'id': 52845}, {'name': 'Metropolis Films', 'id': 52846}]",7/27/2006,163794509.0,134.0,Released,Miami Vice,5.7,494.0
48,FALSE,130000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",83,tt0374102,en,10.652818,"[{'name': 'Plunge Pictures LLC', 'id': 22376}]",8/6/2004,54667954.0,79.0,Released,Open Water,5.3,320.0
49,FALSE,18000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",85,tt0082971,en,19.901576,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Paramount Pictures', 'id': 4}]",6/12/1981,389925971.0,115.0,Released,Raiders of the Lost Ark,7.7,3949.0
50,FALSE,6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",86,tt0430051,de,11.552537,"[{'name': 'MOOVIE - the art of entertainment GmbH', 'id': 74}, {'name': 'Medienfonds German Film Productions GmbH & Co. KG', 'id': 75}]",2/10/2006,0.0,105.0,Released,The Elementary Particles,6.4,34.0
51,FALSE,28000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",87,tt0087469,en,15.802306,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Paramount Pictures', 'id': 4}]",5/23/1984,333000000.0,118.0,Released,Indiana Jones and the Temple of Doom,7.1,2841.0
52,FALSE,6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",88,tt0092890,en,14.044122,"[{'name': 'Great American Films Limited Partnership', 'id': 137}, {'name': 'Vestron Pictures', 'id': 12360}]",8/21/1987,213954274.0,100.0,Released,Dirty Dancing,7.1,1371.0
53,FALSE,48000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",89,tt0097576,en,14.788987,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Paramount Pictures', 'id': 4}]",5/24/1989,474171806.0,127.0,Released,Indiana Jones and the Last Crusade,7.6,3221.0
54,FALSE,15000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",90,tt0086960,en,8.503483,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Eddie Murphy Productions', 'id': 30}]",11/29/1984,316360478.0,105.0,Released,Beverly Hills Cop,6.8,985.0
55,FALSE,20000,"[{'id': 99, 'name': 'Documentary'}]",91,tt0023037,es,2.475972,"[{'name': 'Ramón Acín', 'id': 85869}]",12/1/1933,0.0,29.0,Released,Land Without Bread,6.5,21.0
58,FALSE,140000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",95,tt0120591,en,13.235112,"[{'name': 'Jerry Bruckheimer Films', 'id': 130}, {'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Valhalla Motion Pictures', 'id': 11533}]",7/1/1998,553799566.0,151.0,Released,Armageddon,6.5,2540.0
59,FALSE,20000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",96,tt0092644,en,9.200336,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Eddie Murphy Productions', 'id': 30}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]",5/18/1987,299965036.0,100.0,Released,Beverly Hills Cop II,6.1,627.0
60,FALSE,17000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",97,tt0084827,en,16.574021,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Lisberger/Kushner', 'id': 558}]",7/9/1982,33000000.0,96.0,Released,Tron,6.6,717.0
61,FALSE,103000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",98,tt0172495,en,23.186667,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Scott Free Productions', 'id': 1645}, {'name': 'Red Wagon Entertainment', 'id': 14440}, {'name': 'Mill Film', 'id': 21904}, {'name': 'C & L', 'id': 21905}, {'name': 'Dawliz', 'id': 21906}]",5/1/2000,457640427.0,155.0,Released,Gladiator,7.9,5566.0
62,FALSE,8272296,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",99,tt0185125,es,10.000915,"[{'name': 'Renn Productions', 'id': 82}, {'name': 'France 2 Cinéma', 'id': 83}]",4/19/1999,67872296.0,101.0,Released,All About My Mother,7.4,337.0
63,FALSE,1350000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",100,tt0120735,en,4.60786,"[{'name': 'Handmade Films Ltd.', 'id': 146}, {'name': 'Summit Entertainment', 'id': 491}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'SKA Films', 'id': 13419}, {'name': 'The Steve Tisch Company', 'id': 21920}]",3/5/1998,3897569.0,105.0,Released,"Lock, Stock and Two Smoking Barrels",7.5,1671.0
64,FALSE,16000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",101,tt0110413,fr,20.477329,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Gaumont', 'id': 9}]",9/14/1994,45284974.0,110.0,Released,Leon: The Professional,8.2,4293.0
66,FALSE,1300000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",103,tt0075314,en,14.092713,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Italo/Judeo Productions', 'id': 46059}, {'name': 'Bill/Phillips', 'id': 46060}]",2/7/1976,28262574.0,114.0,Released,Taxi Driver,8.1,2632.0
67,FALSE,1530000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",104,tt0130827,de,7.765379,"[{'name': 'X-Filme Creative Pool', 'id': 1972}, {'name': 'Westdeutscher Rundfunk (WDR)', 'id': 7025}]",8/20/1998,7267585.0,81.0,Released,Run Lola Run,7.2,672.0
68,FALSE,19000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",105,tt0088763,en,25.778509,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'U-Drive Productions', 'id': 20448}]",7/3/1985,381109762.0,116.0,Released,Back to the Future,8.0,6239.0
69,FALSE,18000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",106,tt0093773,en,18.495694,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Lawrence Gordon Productions', 'id': 840}, {'name': 'Davis Entertainment', 'id': 1302}, {'name': 'Silver Pictures', 'id': 1885}, {'name': 'Amercent Films', 'id': 5263}, {'name': 'American Entertainment Partners L.P.', 'id': 5264}]",6/11/1987,98235548.0,107.0,Released,Predator,7.3,2129.0
70,FALSE,10000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",107,tt0208092,en,14.014025,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Screen Gems', 'id': 3287}, {'name': 'SKA Films', 'id': 13419}]",9/1/2000,83557872.0,103.0,Released,Snatch,7.7,2953.0
74,FALSE,25000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",111,tt0086250,en,11.299673,"[{'name': 'Universal Pictures', 'id': 33}]",12/8/1983,65884703.0,170.0,Released,Scarface,8.0,3017.0
77,FALSE,14000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",114,tt0100405,en,13.348451,"[{'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Silver Screen Partners IV', 'id': 10282}]",3/23/1990,463000000.0,119.0,Released,Pretty Woman,7.0,1807.0
78,FALSE,15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",115,tt0118715,en,15.952524,"[{'name': 'Gramercy Pictures', 'id': 37}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Working Title Films', 'id': 10163}]",3/6/1998,46189568.0,117.0,Released,The Big Lebowski,7.8,3001.0
79,FALSE,15000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",116,tt0416320,en,9.020372,"[{'name': 'DreamWorks', 'id': 7}]",10/26/2005,85306374.0,124.0,Released,Match Point,7.2,1134.0
80,FALSE,25000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}]",117,tt0094226,en,11.062203,"[{'name': 'Paramount Pictures', 'id': 4}]",6/2/1987,76270454.0,119.0,Released,The Untouchables,7.6,1424.0
81,FALSE,150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",118,tt0367594,en,22.038405,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'The Zanuck Company', 'id': 80}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Tim Burton Productions', 'id': 8601}, {'name': 'Plan B Entertainment', 'id': 45778}, {'name': 'Theobald Film Productions', 'id': 55512}]",7/13/2005,474968763.0,115.0,Released,Charlie and the Chocolate Factory,6.7,3759.0
82,FALSE,93000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",120,tt0120737,en,32.070725,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'The Saul Zaentz Company', 'id': 5237}]",12/18/2001,871368364.0,178.0,Released,The Lord of the Rings: The Fellowship of the Ring,8.0,8892.0
83,FALSE,79000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",121,tt0167261,en,29.423537,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'The Saul Zaentz Company', 'id': 5237}]",12/18/2002,926287400.0,179.0,Released,The Lord of the Rings: The Two Towers,8.0,7641.0
84,FALSE,94000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",122,tt0167260,en,29.324358,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}]",12/1/2003,1118888979.0,201.0,Released,The Lord of the Rings: The Return of the King,8.1,8226.0
85,FALSE,4000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",123,tt0077869,en,7.914795,"[{'name': 'United Artists', 'id': 60}, {'name': 'Fantasy Films', 'id': 286}]",11/15/1978,30471420.0,132.0,Released,The Lord of the Rings,6.1,187.0
88,FALSE,26500000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}]",128,tt0119698,ja,17.166725,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Studio Ghibli', 'id': 10342}, {'name': 'Nibariki', 'id': 12516}, {'name': 'Nippon Television Network (NTV)', 'id': 20192}]",7/12/1997,159375308.0,134.0,Released,Princess Mononoke,8.2,2041.0
